TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20000121,5.034,1.0,157.294,92.68,0.0,236.665,0.0,5.538,1.0,99.048,0.0,0.0,1.0,4.234,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.564,1.0,-9999,1.0,64.6753,0.0,-9999,-9999,-9999,-9999,58.9573,0.0,-9999,-9999,-9999,-9999,-0.810859,0.0,-9999,-0.892233,-0.865045,-0.85579,0.0,0.0,0.0,1.54201,1.49975,1.53862,1.60765,2.40857,2.36919,2.39441,2.4893,1.97865,1.56191,1.97865,3.67747,2.01699,2.01699,2.08195,2.88876,-9999,-9999
20000122,3.387,1.0,159.042,68.52,0.0,266.826,0.0,3.356,1.0,98.474,0.0,1.4,1.0,4.606,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,5.53,1.0,-9999,1.0,68.4841,0.0,-9999,-9999,-9999,-9999,60.9979,0.0,-9999,-9999,-9999,-9999,-1.07936,0.0,-9999,-1.07936,-1.07936,-1.07936,0.0,0.0,0.0,1.32318,1.28104,1.3198,1.38898,2.40255,2.3604,2.39916,2.46835,1.91585,1.51234,1.91585,3.56075,1.65212,1.65212,1.70752,2.51827,-9999,-9999
20000123,3.811,1.0,160.842,80.103,0.0,261.664,0.0,3.973,1.0,98.153,0.0,1.8,1.0,5.004,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,5.437,1.0,-9999,1.0,63.9051,0.0,-9999,-9999,-9999,-9999,61.4553,0.0,-9999,-9999,-9999,-9999,-0.965893,0.0,-9999,-1.06122,-1.02196,-1.00913,0.0,0.0,0.0,1.37737,1.33508,1.37397,1.4433,2.40427,2.3746,2.40473,2.45243,1.93229,1.52531,1.93229,3.5913,1.83424,1.83424,1.8945,2.70704,-9999,-9999
20000124,2.308,1.0,162.692,75.256,0.0,246.212,0.0,4.072,1.0,98.264,0.0,0.2,1.0,4.021,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,5.151,1.0,-9999,1.0,64.6753,0.0,-9999,-9999,-9999,-9999,58.9573,0.0,-9999,-9999,-9999,-9999,-0.810859,0.0,-9999,-0.892233,-0.865045,-0.85579,0.0,0.0,0.0,1.19591,1.15461,1.19103,1.26063,2.06247,2.02341,2.05187,2.1424,1.8728,1.47835,1.8728,3.48074,1.74871,1.74871,1.8065,2.60564,-9999,-9999
20000125,-1.847,1.0,164.593,60.892,0.0,257.95,0.0,1.026,1.0,98.649,0.0,0.0,1.0,2.156,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,4.325,1.0,-9999,1.0,68.4841,0.0,-9999,-9999,-9999,-9999,60.9979,0.0,-9999,-9999,-9999,-9999,-1.07936,0.0,-9999,-1.07936,-1.07936,-1.07936,0.0,0.0,0.0,0.767835,0.732062,0.758948,0.824783,1.8472,1.81143,1.83831,1.90415,1.69916,1.34128,1.69916,3.15801,1.49244,1.49244,1.54296,2.3203,-9999,-9999
20000126,-0.156,1.0,166.542,86.361,0.0,260.646,0.0,0.767,1.0,99.399,0.0,3.4,1.0,1.447,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,3.999,1.0,-9999,1.0,63.9051,0.0,-9999,-9999,-9999,-9999,61.4553,0.0,-9999,-9999,-9999,-9999,-0.965893,0.0,-9999,-1.06122,-1.02196,-1.00913,0.0,0.0,0.0,0.941807,0.903779,0.934544,1.00192,1.96871,1.94127,1.97366,2.01106,1.76989,1.39712,1.76989,3.28947,1.92655,1.92655,1.98921,2.80115,-9999,-9999
20000127,0.172,1.0,168.541,60.45,0.0,283.914,0.0,0.367,1.0,99.596,0.0,7.0,1.0,0.801,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,3.843,1.0,-9999,1.0,64.6753,0.0,-9999,-9999,-9999,-9999,58.9573,0.0,-9999,-9999,-9999,-9999,-0.810859,0.0,-9999,-0.892233,-0.865045,-0.85579,0.0,0.0,0.0,0.964336,0.925488,0.956959,1.02568,1.8309,1.79377,1.81789,1.90799,1.78501,1.40906,1.78501,3.31759,1.49733,1.49733,1.54816,2.33311,-9999,-9999
20000128,3.916,1.0,170.587,101.249,0.0,252.028,0.0,2.234,1.0,99.133,0.0,0.2,1.0,1.119,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.289,1.0,-9999,1.0,68.4841,0.0,-9999,-9999,-9999,-9999,60.9979,0.0,-9999,-9999,-9999,-9999,-1.07936,0.0,-9999,-1.07936,-1.07936,-1.07936,0.0,0.0,0.0,1.46577,1.42703,1.46266,1.52622,2.54514,2.50639,2.54202,2.60559,1.92739,1.52145,1.92739,3.5822,2.15075,2.15075,2.21941,3.03998,-9999,-9999
20000129,7.981,1.0,172.68,70.454,0.0,284.231,0.0,3.561,1.0,98.943,0.0,0.2,1.0,3.37,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,5.218,1.0,-9999,1.0,63.9051,0.0,-9999,-9999,-9999,-9999,61.4553,0.0,-9999,-9999,-9999,-9999,-0.965893,0.0,-9999,-1.06122,-1.02196,-1.00913,0.0,0.0,0.0,1.96085,1.9122,1.95494,2.02404,2.98775,2.955,2.98775,3.0339,2.08783,1.6481,2.08783,3.88039,1.69101,1.69101,1.7476,2.56909,-9999,-9999
20000130,10.955,1.0,174.819,68.736,0.0,311.893,0.0,4.65,1.0,99.249,0.0,1.2,1.0,4.959,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,6.693,1.0,-9999,1.0,64.6753,0.0,-9999,-9999,-9999,-9999,58.9573,0.0,-9999,-9999,-9999,-9999,-0.810859,0.0,-9999,-0.892233,-0.865045,-0.85579,0.0,0.0,0.0,2.44008,2.38938,2.42732,2.49572,3.30664,3.26869,3.29297,3.37917,2.19163,1.73003,2.19163,4.07331,1.67254,1.67254,1.72885,2.56712,-9999,-9999
20000131,11.901,1.0,177.005,96.058,0.0,285.29,0.0,5.456,1.0,99.452,0.0,0.0,1.0,2.418,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,7.397,1.0,-9999,1.0,68.4841,0.0,-9999,-9999,-9999,-9999,60.9979,0.0,-9999,-9999,-9999,-9999,-1.07936,0.0,-9999,-1.07936,-1.07936,-1.07936,0.0,0.0,0.0,2.62623,2.58097,2.61484,2.68169,3.7056,3.66033,3.69421,3.76105,2.22088,1.75312,2.22088,4.12767,2.08058,2.08058,2.14751,2.97729,-9999,-9999
20000201,6.131,1.0,179.235,102.693,0.270833,285.429,0.0,0.203,1.0,99.138,0.0,0.0,0.979167,0.994,0.0,-9999,0.0,8.5002,0.520833333333,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,7.173,1.0,-9999,1.0,63.9051,0.0,-9999,-9999,-9999,-9999,61.4553,0.0,-9999,-9999,-9999,-9999,-0.965893,0.0,-9999,-1.06122,-1.02196,-1.00913,0.0,0.0,0.0,1.69098,1.64877,1.6876,1.7563,2.71788,2.68438,2.71788,2.76544,2.02011,1.59464,2.02011,3.75453,2.17746,2.17746,2.24693,3.07642,-9999,-9999
