TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20000121,-20.222,1.0,140.49,101.479,0.9375,193.444,0.0,0.477,1.0,96.023,1.0,0.312,1.0,1.942,0.8125,-9999,-9999,-9999,-9999,175.3110625,1.0,-9999,-9999,-9999,-9999,377.53,1.0,-9999,-9999,-9999,1.0,54.3299,0.0,103.689,-9999,-9999,-9999,17.9225,0.0,34.2054,-9999,-9999,-9999,0.831464,0.0,-9999,0.376001,0.455882,0.821793,0.0,0.0,0.0,0.65128,0.684434,0.738372,0.846594,-0.180542,-0.0444426,0.317184,0.35925,0.83406,0.860723,0.928632,0.934574,1.0739,1.05714,1.08305,1.09077,-9999,-9999
20000122,-13.582,1.0,142.241,37.54,1.0,274.363,0.0,0.617,1.0,95.249,1.0,0.0,1.0,3.072,0.75,-9999,0.0,-9999,0.0,78.7322708333,1.0,-9999,0.0,-9999,0.0,379.33,1.0,-9999,-9999,-9999,1.0,57.4901,0.0,110.351,-9999,-9999,-9999,31.8277,0.0,61.0923,-9999,-9999,-9999,0.64861,0.0,-9999,0.41944,0.482901,0.68342,0.0,0.0,0.0,1.21128,1.21742,1.2977,1.4154,0.701099,0.662362,0.81972,0.897721,1.23475,1.27422,1.37475,1.38355,0.487418,0.487418,0.496695,0.499435,-9999,-9999
20000123,-16.806,1.0,144.043,95.073,1.0,213.408,0.0,0.632,1.0,95.484,1.0,1.09,1.0,3.415,0.479167,-9999,0.0,-9999,0.0,186.421791667,1.0,-9999,0.0,-9999,0.0,379.187,1.0,-9999,-9999,-9999,1.0,54.8306,0.0,105.847,-9999,-9999,-9999,7.86438,0.0,15.1816,-9999,-9999,-9999,0.410497,0.0,-9999,0.303289,0.390141,0.458315,0.0,0.0,0.0,0.920405,0.939988,1.01606,1.13183,0.0459152,0.476767,0.653234,0.720805,1.04517,1.07859,1.16368,1.17113,1.0526,1.03968,1.06485,1.07093,-9999,-9999
20000124,-12.574,1.0,145.899,85.285,1.0,225.91,0.0,1.014,1.0,95.725,1.0,0.312,1.0,3.137,0.0,-9999,0.0,-9999,0.0,178.754916667,1.0,-9999,0.0,-9999,0.0,375.045,1.0,-9999,-9999,-9999,1.0,54.3299,0.0,106.481,-9999,-9999,-9999,17.9225,0.0,35.1262,-9999,-9999,-9999,0.831464,0.0,-9999,0.376001,0.455882,0.821793,0.0,0.0,0.0,1.30316,1.30316,1.388,1.50952,0.545895,0.554471,0.935879,1.00878,1.29287,1.33421,1.43947,1.44868,0.956323,0.945867,0.968659,0.97363,-9999,-9999
20000125,-11.109,1.0,147.806,78.775,1.0,232.585,0.0,0.876,1.0,96.41,1.0,0.0,1.0,3.236,0.0,-9999,0.0,-9999,0.0,164.9845625,1.0,-9999,0.0,-9999,0.0,373.269,1.0,-9999,-9999,-9999,1.0,57.4901,0.0,113.352,-9999,-9999,-9999,31.8277,0.0,62.7536,-9999,-9999,-9999,0.64861,0.0,-9999,0.41944,0.482901,0.68342,0.0,0.0,0.0,1.42968,1.42968,1.51602,1.63036,0.942689,0.882065,1.02102,1.11432,1.38368,1.42791,1.54057,1.55043,0.904149,0.896014,0.917384,0.921403,-9999,-9999
20000126,-9.516,1.0,149.764,93.172,1.0,217.623,0.0,1.372,1.0,97.017,1.0,2.177,1.0,1.693,0.0,-9999,0.0,-9999,0.0,195.441145833,1.0,-9999,0.0,-9999,0.0,372.808,1.0,-9999,-9999,-9999,1.0,54.8306,0.0,108.709,-9999,-9999,-9999,7.86438,0.0,15.5921,-9999,-9999,-9999,0.410497,0.0,-9999,0.303289,0.390141,0.458315,0.0,0.0,0.0,1.5807,1.57245,1.64828,1.75746,0.764659,1.14454,1.26025,1.34499,1.47204,1.51909,1.63895,1.64943,1.01481,1.00137,1.0257,1.03198,-9999,-9999
20000127,-7.295,1.0,151.771,104.244,1.0,210.272,0.0,2.346,1.0,97.629,1.0,0.156,1.0,1.547,0.125,-9999,0.0,-9999,0.0,218.8646875,1.0,-9999,0.0,-9999,0.0,376.14,1.0,-9999,-9999,-9999,1.0,54.3299,0.0,108.166,-9999,-9999,-9999,17.9225,0.0,35.6821,-9999,-9999,-9999,0.831464,0.0,-9999,0.376001,0.455882,0.821793,0.0,0.0,0.0,1.79249,1.76036,1.8263,1.95914,1.06927,1.06927,1.38138,1.47438,1.59082,1.64168,1.7712,1.78254,1.12196,1.1058,1.13278,1.14028,-9999,-9999
20000128,-5.69,1.0,153.829,103.853,1.0,214.59,0.0,2.771,1.0,97.825,1.0,0.156,1.0,1.73,0.0,-9999,-9999,-9999,-9999,218.037708333,1.0,-9999,-9999,-9999,-9999,378.871,1.0,-9999,-9999,-9999,1.0,57.4901,0.0,114.933,-9999,-9999,-9999,31.8277,0.0,63.6294,-9999,-9999,-9999,0.64861,0.0,-9999,0.41944,0.482901,0.68342,0.0,0.0,0.0,1.94574,1.90322,1.95695,2.11319,1.48339,1.369,1.47817,1.5569,1.6757,1.72927,1.8657,1.87764,1.11727,1.10122,1.12808,1.13553,-9999,-9999
20000129,-3.258,1.0,155.935,103.756,1.0,221.737,0.0,3.476,1.0,97.568,1.0,0.156,1.0,1.286,0.0,-9999,0.0,-9999,0.0,217.832041667,1.0,-9999,0.0,-9999,0.0,377.988,1.0,-9999,-9999,-9999,1.0,54.8306,0.0,109.617,-9999,-9999,-9999,7.86438,0.0,15.7224,-9999,-9999,-9999,0.410497,0.0,-9999,0.303289,0.390141,0.458315,0.0,0.0,0.0,2.17791,2.0997,2.17791,2.34416,1.3839,1.72189,1.81501,1.88609,1.79814,1.85562,2.00203,2.01484,1.12212,1.10635,1.13332,1.14065,-9999,-9999
20000130,-2.22,1.0,158.09,98.546,1.0,238.295,0.0,3.211,1.0,96.44,1.0,0.312,1.0,1.951,0.0,-9999,0.0,-9999,0.0,206.809645833,1.0,-9999,0.0,-9999,0.0,378.393,1.0,-9999,-9999,-9999,1.0,54.3299,0.0,109.065,-9999,-9999,-9999,17.9225,0.0,35.9788,-9999,-9999,-9999,0.831464,0.0,-9999,0.376001,0.455882,0.821793,0.0,0.0,0.0,2.27699,2.18954,2.27699,2.4424,1.56842,1.54916,1.80062,1.883,1.84959,1.90871,2.05931,2.07249,1.06558,1.0508,1.07639,1.08327,-9999,-9999
