TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20040121,-4.13,1.0,105.885,8.06,1.0,263.092,0.0,0.257,1.0,97.278,0.0,1.9,1.0,2.552,1.0,0.105,1.0,-3.85770833333,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,387.582,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.70667,1.0,0.306355,1.0,0.454643,0.256622,0.573401,0.658127,-0.312917,1.0,-0.363735,-0.585682,-0.262118,1.23211,0.585821,1.0,0.103911,0.458352,0.559269,0.583398,1.0,1.0,1.0,0.480221,0.489355,0.508001,0.525095,-0.1056,-0.0863837,-0.0507473,0.0509786,0.78002,0.574992,0.650128,0.78002,0.00921499,0.00177449,0.00437704,0.00614677,-9999,-9999
20040122,-9.614,1.0,107.605,53.107,1.0,232.27,0.0,0.425,1.0,97.779,0.0,0.0,1.0,1.045,1.0,0.145416666667,1.0,-0.316041666667,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,389.11,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.88188,1.0,0.66495,1.0,0.986812,0.557003,1.32701,0.719955,2.18313,1.0,3.23986,1.82873,4.35679,1.36085,0.419093,1.0,0.0983917,0.384277,0.401637,0.437057,1.0,0.958333,1.0,0.32505,0.331559,0.355784,0.358038,-0.0940428,-0.0995002,-0.0699718,-0.0281427,0.556042,0.366239,0.437081,0.556042,0.0560042,0.0220955,0.0228719,0.0396668,-9999,-9999
20040123,-10.662,1.0,109.381,95.432,1.0,193.088,0.0,0.516,1.0,97.773,0.0,0.0,1.0,1.162,1.0,0.172916666667,1.0,6.54791666667,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,395.648,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.79583,1.0,-2.79231,1.0,-5.22632,-7.69104,-2.33901,0.858638,-4.46677,1.0,-8.36039,-12.3031,-3.74164,1.32069,0.505699,1.0,0.109359,0.500369,0.504196,0.537431,1.0,1.0,1.0,0.299854,0.306221,0.332108,0.341838,-0.205845,-0.225736,-0.194185,-0.15197,0.424716,0.274329,0.325233,0.424716,0.105952,0.0435667,0.059561,0.095388,-9999,-9999
20040124,-11.225,1.0,111.21,93.77,1.0,202.684,0.0,0.595,1.0,97.376,0.0,0.0,1.0,0.629,1.0,0.15875,1.0,0.67,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,389.782,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.98615,1.0,1.09157,1.0,2.04308,0.60013,3.00659,0.833635,-0.396956,1.0,-0.742977,-1.09336,-0.21824,1.18754,0.219826,1.0,0.0994033,0.202286,0.219826,0.34581,1.0,1.0,1.0,0.297702,0.306399,0.330314,0.347835,0.0778754,-0.0368947,0.0395686,0.127561,0.283314,0.218202,0.260135,0.415262,0.124542,0.0145663,0.0993326,0.124542,-9999,-9999
20040125,-2.164,1.0,113.094,4.551,1.0,295.606,0.0,0.277,1.0,96.804,0.0,4.3,1.0,1.977,1.0,0.137708333333,1.0,-3.64166666667,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,385.613,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.94062,1.0,3.11592,1.0,6.2183,1.71308,8.58238,0.753256,1.58479,1.0,3.1627,0.871295,4.3651,1.25979,0.704947,1.0,0.0922964,0.709846,0.745044,0.774872,1.0,1.0,1.0,0.578336,0.578336,0.615073,0.630752,-0.126611,-0.141376,-0.132752,-0.115381,0.691746,0.653004,0.691746,0.860075,0.0105971,0.0,0.00740953,0.0105971,-9999,-9999
20040126,-1.618,1.0,115.03,57.055,1.0,308.513,0.0,0.66,1.0,96.509,0.0,0.2,1.0,1.699,1.0,0.16375,1.0,-5.09333333333,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,384.691,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.14708,1.0,0.493898,1.0,0.413719,0.22192,1.36038,1.17348,-4.01113,1.0,-3.35997,-11.0481,-1.80229,1.55549,0.615712,1.0,0.102904,0.615712,0.662278,0.696092,1.0,1.0,1.0,0.560826,0.560826,0.588043,0.598207,-0.0548863,-0.0742346,-0.0596895,-0.0479424,0.955525,0.793172,0.815401,1.03141,0.137566,0.0,0.0971384,0.136781,-9999,-9999
20040127,-4.796,1.0,117.021,12.299,1.0,264.096,0.0,0.428,1.0,95.785,0.0,0.0,1.0,1.255,1.0,0.111041666667,1.0,-3.86041666667,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,393.306,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.51094,1.0,0.304583,1.0,0.255138,0.136856,0.838934,0.420279,0.780625,1.0,0.653899,0.350753,2.15013,1.09221,0.494554,1.0,0.0915644,0.390663,0.494554,0.553554,1.0,1.0,1.0,0.418395,0.418395,0.432354,0.440684,-0.0761593,-0.145524,-0.0761593,-0.0199984,0.780858,0.598488,0.693915,0.847333,0.0251332,0.0,0.0168718,0.023941,-9999,-9999
20040128,-4.003,1.0,119.064,44.263,1.0,258.871,0.0,0.72,1.0,95.634,0.0,0.0,1.0,1.972,1.0,0.118958333333,1.0,-14.9460416667,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,386.671,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.835,1.0,0.155238,1.0,0.130037,0.0697519,0.427581,0.559631,-4.60208,1.0,-3.85499,-12.6758,-2.06782,1.17516,0.757937,1.0,0.0867788,0.655118,0.74414,0.766111,0.979167,1.0,1.0,0.404355,0.394873,0.413882,0.419737,-0.353582,-0.346373,-0.324932,-0.281108,0.845653,0.725564,0.815751,0.935053,0.0325116,0.0,0.0203232,0.0288594,-9999,-9999
20040129,-2.523,1.0,121.159,31.762,1.0,257.395,0.0,0.917,1.0,95.536,0.0,0.6,1.0,3.374,1.0,0.227916666667,1.0,-20.3683333333,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,376.705,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.05219,1.0,1.42242,1.0,1.73088,0.782024,3.91786,0.717608,-10.6004,1.0,-8.87956,-21.1548,-4.76301,1.22387,0.91199,1.0,0.0810887,0.91931,0.936233,0.973757,1.0,1.0,1.0,0.420454,0.383771,0.420454,0.437928,-0.491536,-0.585526,-0.498026,-0.484368,0.88577,0.872527,0.880751,0.896275,0.00695226,0.00680676,0.0101063,0.0175104,-9999,-9999
20040130,-1.321,1.0,123.306,17.653,1.0,287.137,0.0,0.815,1.0,96.628,0.0,6.4,1.0,4.659,1.0,0.332708333333,1.0,-10.5577083333,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,381.623,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.21146,1.0,4.12773,1.0,5.02286,1.85468,11.3693,0.711162,-7.15792,1.0,-8.71017,-19.7155,-3.21622,1.50874,0.96759,1.0,0.0765706,0.984017,0.995294,1.04697,1.0,1.0,1.0,0.451378,0.384764,0.451378,0.465542,-0.516212,-0.689854,-0.532991,-0.516212,0.77455,0.654882,0.799502,0.882378,0.00875452,0.00875452,0.0166453,0.0289616,-9999,-9999
